Location;Institute;Year of publication;Study;Scenario;Year of H2 demand;Value;Unit;Abbreviation;Rererence;Notes
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Referenz;2020;0;TWh (H2);F-ISE-RE;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Referenz;2030;58;TWh (H2);F-ISE-RE;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Referenz;2040;213;TWh (H2);F-ISE-RE;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Referenz;2045;331;TWh (H2);F-ISE-RE;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Beharrung;2020;0;TWh (H2);F-ISE-BE;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Beharrung;2030;54;TWh (H2);F-ISE-BE;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Beharrung;2040;100;TWh (H2);F-ISE-BE;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Beharrung;2045;118;TWh (H2);F-ISE-BE;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Inakzeptanz;2020;0;TWh (H2);F-ISE-IN;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Inakzeptanz;2030;104;TWh (H2);F-ISE-IN;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Inakzeptanz;2040;234;TWh (H2);F-ISE-IN;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Inakzeptanz;2045;315;TWh (H2);F-ISE-IN;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Suffizienz;2020;0;TWh (H2);F-ISE-SUF;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Suffizienz;2030;41;TWh (H2);F-ISE-SUF;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Suffizienz;2040;84;TWh (H2);F-ISE-SUF;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wege zu einem klimaneutralen Energiesystem;Suffizienz;2045;117;TWh (H2);F-ISE-SUF;https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/wege-zu-einem-klimaneutralen-energiesystem.html;Also available: Detailed analysis
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T45;T45-Strom;2025;2;TWh (H2);F-ISI-ST;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T46;T45-Strom;2030;27;TWh (H2);F-ISI-ST;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T47;T45-Strom;2035;80;TWh (H2);F-ISI-ST;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T48;T45-Strom;2040;188;TWh (H2);F-ISI-ST;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T49;T45-Strom;2045;363;TWh (H2);F-ISI-ST;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T50;T45-RedGas;2025;3;TWh (H2);F-ISI-RG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T51;T45-RedGas;2030;29;TWh (H2);F-ISI-RG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T52;T45-RedGas;2035;89;TWh (H2);F-ISI-RG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T53;T45-RedGas;2040;245;TWh (H2);F-ISI-RG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T54;T45-RedGas;2045;400;TWh (H2);F-ISI-RG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T55;T45-RedEff;2025;2;TWh (H2);F-ISI-RE;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T56;T45-RedEff;2030;24;TWh (H2);F-ISI-RE;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T57;T45-RedEff;2035;72;TWh (H2);F-ISI-RE;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T58;T45-RedEff;2040;267;TWh (H2);F-ISI-RE;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T59;T45-RedEff;2045;458;TWh (H2);F-ISI-RE;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T60;T45-PtG;2025;0;TWh (H2);F-ISI-PtG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T61;T45-PtG;2030;31;TWh (H2);F-ISI-PtG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T62;T45-PtG;2035;79;TWh (H2);F-ISI-PtG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T63;T45-PtG;2040;129;TWh (H2);F-ISI-PtG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T64;T45-PtG;2045;134;TWh (H2);F-ISI-PtG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T65;T45-H2;2025;5;TWh (H2);F-ISI-H2;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T66;T45-H2;2030;72;TWh (H2);F-ISI-H2;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T67;T45-H2;2035;232;TWh (H2);F-ISI-H2;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T68;T45-H2;2040;444;TWh (H2);F-ISI-H2;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;Fraunhofer ISE;2021;Wasserstoffsystem Deutschland Erzeugung T69;T45-H2;2045;694;TWh (H2);F-ISI-H2;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/51120/9ba798949fed4739c34212bd3190b14a;
Germany;FENES (Franz Bauer);2022;Analyse von Suffizienzpotenzialen im Kontext einer nachhaltigen Transformation des deutschen Energiesystems anhand eines sektorübergreifenden Optimierungsmodells;Referenz;2050;585;TWh (H2);FENES-B-RE;;
Germany;FENES (Franz Bauer);2022;Analyse von Suffizienzpotenzialen im Kontext einer nachhaltigen Transformation des deutschen Energiesystems anhand eines sektorübergreifenden Optimierungsmodells;Suffizienz;2050;480;TWh (H2);FENES-B-SUF;;
Germany;FENES (Franz Bauer);2022;Analyse von Suffizienzpotenzialen im Kontext einer nachhaltigen Transformation des deutschen Energiesystems anhand eines sektorübergreifenden Optimierungsmodells;OmniRed;2050;571;TWh (H2);FENES-B-OmniRed;;
